doc_id,negative,neutral,positive,sentiment_score,category
306-cp.signed,0.08666666666666667,0.5266666666666666,0.38666666666666666,0.3,good
2230-ttg.signed,0.0641025641025641,0.6025641025641025,0.3333333333333333,0.2692307692307692,good
75-vbhn-bqp,0.056962025316455694,0.6455696202531646,0.2974683544303797,0.24050632911392403,good
318-cp.signed,0.05847953216374269,0.6432748538011696,0.2982456140350877,0.23976608187134502,good
40-vbhn-btc,0.07407407407407407,0.6172839506172839,0.30864197530864196,0.2345679012345679,good
30-ttg.signed,0.12345679012345678,0.5308641975308642,0.345679012345679,0.2222222222222222,good
2229-ttg.signed,0.08235294117647059,0.6176470588235294,0.3,0.21764705882352942,good
duthao-bo-gddt,0.07792207792207792,0.6493506493506493,0.2727272727272727,0.1948051948051948,neutral
320nq.signed,0.09722222222222222,0.6180555555555556,0.2847222222222222,0.1875,neutral
187-ttg.signed,0.08139534883720931,0.6511627906976745,0.26744186046511625,0.18604651162790695,neutral
258-cp.signed,0.11258278145695365,0.5894039735099338,0.2980132450331126,0.18543046357615894,neutral
76-vbhn-bqp,0.0718954248366013,0.673202614379085,0.2549019607843137,0.1830065359477124,neutral
9787-cn.signed,0.09433962264150944,0.6289308176100629,0.27672955974842767,0.18238993710691823,neutral
143-qd.signed,0.08484848484848485,0.6484848484848484,0.26666666666666666,0.18181818181818182,neutral
195-ttg.signed,0.0784313725490196,0.6666666666666666,0.2549019607843137,0.1764705882352941,neutral
03-vbhn-bkhcn,0.08092485549132948,0.6647398843930635,0.2543352601156069,0.17341040462427743,neutral
2239ttg.signed,0.12025316455696203,0.5949367088607594,0.2848101265822785,0.16455696202531647,neutral
2243ttg.signed,0.1317365269461078,0.5748502994011976,0.2934131736526946,0.1616766467065868,neutral
2219-ttg.signed,0.12422360248447205,0.5900621118012422,0.2857142857142857,0.16149068322981364,neutral
193-ttg.signed,0.11258278145695365,0.6225165562913907,0.26490066225165565,0.152317880794702,neutral
194-ttg.signed,0.09375,0.6625,0.24375,0.15,neutral
191-ttg.signed,0.11564625850340136,0.6190476190476191,0.2653061224489796,0.14965986394557823,neutral
2241ttg.signed,0.10559006211180125,0.639751552795031,0.2546583850931677,0.14906832298136644,neutral
192-ttg.signed,0.13450292397660818,0.5847953216374269,0.2807017543859649,0.14619883040935672,neutral
1.-du-thao-1_thong-tu_2609,0.10493827160493827,0.654320987654321,0.24074074074074073,0.13580246913580246,neutral
261nd.signed,0.12080536912751678,0.6241610738255033,0.2550335570469799,0.13422818791946312,neutral
323nq.signed,0.12121212121212122,0.6242424242424243,0.2545454545454545,0.1333333333333333,neutral
9768-cn.signed,0.10559006211180125,0.6583850931677019,0.2360248447204969,0.13043478260869565,neutral
188-ttg.signed,0.143646408839779,0.585635359116022,0.27071823204419887,0.12707182320441987,neutral
2.-thuyet-minh-du-thao-tt,0.09714285714285714,0.68,0.22285714285714286,0.12571428571428572,neutral
39-vbhn-btc,0.09316770186335403,0.6956521739130435,0.2111801242236025,0.11801242236024846,neutral
186-cd.signed,0.14705882352941177,0.5882352941176471,0.2647058823529412,0.11764705882352941,neutral
19-bkhcn,0.08783783783783784,0.7094594594594594,0.20270270270270271,0.11486486486486487,neutral
20-bkhcn,0.16470588235294117,0.5588235294117647,0.27647058823529413,0.11176470588235296,neutral
2222ttg.signed,0.1375,0.625,0.2375,0.09999999999999998,neutral
541-tb.signed,0.14906832298136646,0.6024844720496895,0.2484472049689441,0.09937888198757763,neutral
196cd.signed,0.15168539325842698,0.601123595505618,0.24719101123595505,0.09550561797752807,neutral
9703-cn.signed,0.12987012987012986,0.6493506493506493,0.22077922077922077,0.09090909090909091,neutral
9533-cn.signed,0.12727272727272726,0.6545454545454545,0.21818181818181817,0.09090909090909091,neutral
257-cp.signed,0.13513513513513514,0.6486486486486487,0.21621621621621623,0.08108108108108109,neutral
15557btc.signed,0.12883435582822086,0.6625766871165644,0.2085889570552147,0.07975460122699385,neutral
20251006011846298.-du-thao,0.01098901098901099,0.9010989010989011,0.08791208791208792,0.07692307692307693,neutral
2224-ttg.signed,0.13245033112582782,0.6622516556291391,0.2052980132450331,0.07284768211920528,neutral
2227-ttg.signed,0.13548387096774195,0.6580645161290323,0.2064516129032258,0.07096774193548386,neutral
536-tb.signed,0.14634146341463414,0.6463414634146342,0.2073170731707317,0.06097560975609756,neutral
9757-cn.signed,0.16891891891891891,0.6013513513513513,0.22972972972972974,0.06081081081081083,neutral
9766-cn.signed,0.152317880794702,0.6357615894039735,0.2119205298013245,0.059602649006622516,neutral
259nd.signed,0.14556962025316456,0.6518987341772152,0.20253164556962025,0.056962025316455694,neutral
190-ttg.signed,0.16666666666666666,0.6190476190476191,0.21428571428571427,0.047619047619047616,neutral
2216-ttg.signed,0.1510791366906475,0.6546762589928058,0.19424460431654678,0.04316546762589929,neutral
260nd.signed,0.1402439024390244,0.676829268292683,0.18292682926829268,0.042682926829268275,neutral
2179-ttg.signed,0.15384615384615385,0.6602564102564102,0.1858974358974359,0.03205128205128205,neutral
189-ttg.signed,0.19883040935672514,0.5789473684210527,0.2222222222222222,0.023391812865497075,neutral
537-tb.signed,0.2147239263803681,0.5644171779141104,0.22085889570552147,0.006134969325153367,neutral
